iter	Passed	Remaining
0	1	127
1	2	126
2	3	115
3	4	105
4	5	103
5	6	102
6	7	100
7	8	99
8	9	97
9	10	94
10	11	92
11	12	91
12	13	90
13	14	90
14	15	89
15	17	89
16	18	90
17	19	89
18	20	87
19	21	86
20	22	85
21	23	84
22	25	83
23	26	82
24	27	81
25	28	80
26	29	78
27	30	77
28	31	77
29	33	77
30	34	76
31	35	74
32	36	73
33	37	72
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	63
41	44	62
42	46	61
43	48	61
44	49	60
45	50	59
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	106	3
97	107	2
98	108	1
99	109	0
